nome,quota_m_s,giacitura,tecnologia,longitude,latitude,coord_E,coord_N,coord_NU,coord_EU,data inizi,data fine,conformita,altezzapl,altezzate,presenza e,presenza_1,presenza_2,presenza_3,presenza_4
MUGGIA,"2",costa/mare,MICROS,"13.752640028654875","45.61053518137971","2422746","5051551","5051528","402742",27/07/2006,,PARZIALE,"250","300",RR_alt,LOC,LOC,RAP,
MURE,"8",pianura,CAE,"12.805102550371167","45.84035412383708","2349563","5078671",,,28/11/1990,,PARZIALE,"250","400",RR_suff,LOC,,,
MUSI,"523",fondovalle,CAE,"13.27254177483779","46.30728337087465","2386989","5129659",,,29/09/1999,,NO,"300","400",RR_alt,ALT,,,RAP
MUSI,"600",terrazzo/pianoro,MICROS,"13.274644821643577","46.31267905965876","2387164","5130255","5130232","367160",23/08/2001,,PARZIALE,"150","200",RR_ok,LOC,,,
ORZANO,"106",pianura,CAE,"13.35798565390688","46.061752956480326","2393004","5102238",,,13/12/2007,,SI,"250","900",RR_suff,ALT,RAP,,
OSOPPO,"256",pianura,CAE,"13.071372543099114","46.23645788660507","2371307","5122147",,,09/11/1993,,SI,"235","900",RR_suff,ALT,RAP,RAP,
PALA BARZANA,"845",sella/passo,CAE,"12.65906602945937","46.195976117659825","2339385","5118505",,,05/10/2010,,PARZIALE,"300","500",RR_ok,LOC,,,RAP
PALA D'ALTEI,"1528",vetta,MICROS,"12.597698628452685","46.157306286964435","2334520","5114350","5114327","314516",08/05/2004,,SI,,"300",,RAP,RAP,RAP,
PALAZZOLO D.S.,"5",pianura,MICROS,"13.052593087593904","45.805734935364505","2368688","5074326","5074303","348682",03/08/1990,,SI,"150","200",RR_ok,RAP,RAP,RAP,
PALMANOVA,"42",pianura,CAE,"13.333210764672465","45.91092676299816","2390737","5085520",,,19/06/2002,,PARZIALE,"250","900",RR_ok,ALT,ALT,RAP,
PALUZZA,"605",fondovalle,MICROS,"13.018202386237208","46.53118337106516","2368028","5154996","5154973","348024",15/06/2007,11:07:20.000,PARZIALE,"180","250",RR_ok,LOC,,,RAP
PALUZZA,"578",fondovalle,CAE,"13.012003034321978","46.52811486744557","2367544","5154667",,,27/12/2012,,PARZIALE,"240","160",RR_ok,LOC,,,RAP
PANTIANICCO,"75",pianura,CAE,"13.039277770269557","46.01421925490802","2368223","5097515",,,18/12/2007,,SI,"250","900",RR_ok,ALT,LOC,,
PASSO PRAMOLLO,"1530",sella/passo,CAE,"13.275110956792787","46.55973650647233","2387799","5157706",,,15/07/2009,,PARZIALE,"300","900",RR_ok,RAP,RAP,,RAP
PASSO PREDIL,"1148",sella/passo,CAE,"13.573708973164779","46.41879616068458","2410403","5141588",,,14/07/2009,,PARZIALE,"300","900",RR_ok,LOC,ALT,,RAP
PAULARO,"690",fondovalle,CAE,"13.120965688425311","46.526411746555816","2375896","5154273",,,18/05/1999,,PARZIALE,"200","400",RR_ok,LOC,,,
PAVIA DI UDINE,"65",pianura,CAE,"13.29648018037889","45.99205434702978","2388081","5094594",,,30/09/2008,,PARZIALE,"250","175",RR_ok,LOC,,,
PESARIIS,"710",versante S,CAE,"12.775150189959277","46.52188789885459","2349360","5154460",,,16/09/1999,,PARZIALE,"200","400",RR_ok,LOC,,,RAP
PIANCAVALLO,"1280",terrazzo/pianoro,CAE,"12.521713854012829","46.113435724058796","2328501","5109656",,,26/10/2000,,PARZIALE,"250","400",RR_suff,LOC,,,RAP
PIANCAVALLO,"1275",terrazzo/pianoro,MICROS,"12.524363998989356","46.11494224310167","2328711","5109817","5109794","308707",22/11/2004,,SI,"250","300",RR_ok,RAP,LOC,RAP,RAP
PIETRATAGLIATA,"515",fondovalle,CAE,"13.300423720145043","46.48193637364605","2389553","5149019",,,30/12/2012,,NO,,"400",,LOC,LOC,,
PLATISCHIS,"657",versante S,CAE,"13.380010236080896","46.24285190472173","2395118","5122325",,,17/11/2000,,NO,"220","350",RR_suff,ALT,,,
POCENIA METEO,"7",pianura,CAE,"13.113304423752146","45.833368801432606","2373478","5077283",,,19/12/2007,,PARZIALE,"250","900",RR_ok,ALT,LOC,,
PONTE DELIZIA,"57",pianura,CAE,"12.903358125222544","45.96494929691714","2357557","5092309",,,15/09/1994,,NO,"200",,RR_alt,,,,
PONTE SAMBO,"389",fondovalle,CAE,"13.329316364922045","46.26682688458726","2391266","5125070",,,17/12/2009,,NO,"250","400",RR_suff,ALT,,,
PONTEBBA,"590",versante S,MICROS,"13.302442106770524","46.50959511684007","2389774","5152089","5152066","369770",06/07/2006,,PARZIALE,"150","250",RR_ok,LOC,,,RAP
PONTEBBA T.P.,"568",fondovalle,CAE,"13.307478424197376","46.50607895017067","2390152","5151690",,,13/10/1999,,PARZIALE,"200","400",RR_ok,LOC,,RAP,
PORCIA,"19",pianura,CAE,"12.614170548406094","45.92180528790579","2335007","5088146",,,06/10/2010,,PARZIALE,"200","150",RR_ok,ALT,,,
PORDENONE,"23",pianura,MICROS,"12.681232835394521","45.95364434233504","2340310","5091530","5091507","320306",01/06/1994,,PARZIALE,"150","200",RR_ok,RAP,RAP,RAP,
